Date,Close
10/1/2018 0:00,66.33333333
11/1/2018 0:00,66
12/1/2018 0:00,71.66666667
1/1/2019 0:00,73.66666667
2/1/2019 0:00,78.33333333
3/1/2019 0:00,79.66666667
4/1/2019 0:00,78.33333333
5/1/2019 0:00,74.33333333
6/1/2019 0:00,72.33333333
7/1/2019 0:00,70.33333333
8/1/2019 0:00,71
9/1/2019 0:00,70.33333333
10/1/2019 0:00,71
11/1/2019 0:00,69.33333333
12/1/2019 0:00,69.66666667
1/1/2020 0:00,68.66666667
2/1/2020 0:00,67.33333333
3/1/2020 0:00,62
4/1/2020 0:00,60
5/1/2020 0:00,59.33333333
6/1/2020 0:00,61.33333333
7/1/2020 0:00,60.33333333
8/1/2020 0:00,60
9/1/2020 0:00,59.33333333
10/1/2020 0:00,60
11/1/2020 0:00,61
12/1/2020 0:00,61.66666667
1/1/2021 0:00,61
2/1/2021 0:00,61.66666667
3/1/2021 0:00,60.33333333
4/1/2021 0:00,60
5/1/2021 0:00,59
6/1/2021 0:00,59
7/1/2021 0:00,61.33333333
8/1/2021 0:00,61.33333333
