date,Close
9/3/2018,64
10/1/2018,65.33333333
11/1/2018,69.66666667
11/2/2018,69.66666667
11/3/2018,65.66666667
11/4/2018,63.33333333
11/5/2018,65.66666667
11/6/2018,67.66666667
12/7/2018,69.66666667
12/8/2018,68.33333333
12/9/2018,73
1/1/2019,74.66666667
1/2/2019,80.33333333
1/3/2019,81
2/1/2019,81.33333333
2/2/2019,83.33333333
2/3/2019,77.33333333
2/4/2019,78
2/5/2019,79
2/6/2019,85.33333333
3/1/2019,84.33333333
3/2/2019,82
3/3/2019,80
3/4/2019,78.66666667
3/5/2019,79
3/6/2019,73.66666667
4/1/2019,75.33333333
4/2/2019,72.33333333
5/1/2019,73.33333333
5/2/2019,69
5/3/2019,69
5/4/2019,67
5/5/2019,67
5/6/2019,67.66666667
5/7/2019,70.66666667
5/8/2019,72.33333333
5/9/2019,70.66666667
6/1/2019,74
6/2/2019,71
6/3/2019,73
6/4/2019,68.33333333
7/1/2019,72.33333333
7/2/2019,71.33333333
7/3/2019,71.33333333
7/4/2019,68.66666667
8/1/2019,71
8/2/2019,72.66666667
8/3/2019,72.33333333
8/4/2019,69
8/5/2019,67.66666667
8/6/2019,69
9/1/2019,71.66666667
9/2/2019,73
9/3/2019,69
9/4/2019,66.66666667
10/1/2019,69
10/2/2019,71
11/1/2019,69.33333333
11/2/2019,68.33333333
11/3/2019,65.66666667
11/4/2019,67.33333333
11/5/2019,65
11/6/2019,68
11/7/2019,64.33333333
11/8/2019,65.66666667
11/9/2019,65.33333333
12/10/2019,72
12/11/2019,68.33333333
12/12/2019,70
1/1/2020,67
1/2/2020,70.33333333
2/1/2020,65.33333333
2/2/2020,63.66666667
2/3/2020,62.33333333
2/4/2020,64.33333333
2/5/2020,64
2/6/2020,62.33333333
2/7/2020,61
2/8/2020,60
3/1/2020,59.33333333
3/2/2020,57.66666667
3/3/2020,53.66666667
4/1/2020,53.33333333
4/2/2020,58
5/1/2020,62.66666667
5/2/2020,62.33333333
5/3/2020,59.66666667
6/1/2020,60
6/2/2020,60.33333333
6/3/2020,59
6/4/2020,60.66666667
6/5/2020,60.33333333
7/1/2020,62.66666667
7/2/2020,59.66666667
8/1/2020,60.33333333
8/2/2020,57
8/3/2020,56.33333333
8/4/2020,55.66666667
8/5/2020,57.66666667
8/6/2020,59.33333333
8/7/2020,61.66666667
8/8/2020,61.66666667
9/9/2020,63.33333333
9/10/2020,62.33333333
9/11/2020,57.66666667
10/1/2020,58
10/2/2020,57
11/1/2020,64.33333333
11/2/2020,63.33333333
11/3/2020,64
11/4/2020,62.66666667
11/5/2020,61.66666667
11/6/2020,62.66666667
11/7/2020,60.66666667
12/8/2020,60
12/9/2020,58.66666667
12/10/2020,60.33333333
1/1/2021,61
2/2/2021,62.33333333
2/3/2021,63.66666667
2/4/2021,64.33333333
3/1/2021,59.66666667
3/2/2021,58
4/3/2021,56
4/4/2021,60.33333333
5/1/2021,61.33333333
5/2/2021,59
5/3/2021,60
5/4/2021,60
5/5/2021,65.33333333
5/6/2021,62
5/7/2021,60.33333333
6/1/2021,57
7/1/2021,62.66666667
7/2/2021,63
8/1/2021,65
8/2/2021,63
8/3/2021,63
8/4/2021,61
