Date,Close
8/1/2018 0:00,68
9/1/2018 0:00,56
10/1/2018 0:00,75
11/1/2018 0:00,67
12/1/2018 0:00,73
1/1/2019 0:00,81
2/1/2019 0:00,81
3/1/2019 0:00,77
4/1/2019 0:00,77
5/1/2019 0:00,69
6/1/2019 0:00,71
7/1/2019 0:00,71
8/1/2019 0:00,71
9/1/2019 0:00,69
10/1/2019 0:00,73
11/1/2019 0:00,66
12/1/2019 0:00,70
1/1/2020 0:00,70
2/1/2020 0:00,62
3/1/2020 0:00,54
4/1/2020 0:00,64
5/1/2020 0:00,60
6/1/2020 0:00,60
7/1/2020 0:00,61
8/1/2020 0:00,59
9/1/2020 0:00,58
10/1/2020 0:00,63
11/1/2020 0:00,62
12/1/2020 0:00,60
1/1/2021 0:00,61
2/1/2021 0:00,64
3/1/2021 0:00,56
4/1/2021 0:00,60
5/1/2021 0:00,61
6/1/2021 0:00,56
7/1/2021 0:00,67
8/1/2021 0:00,61
